,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9261071085929871,0.20714841783046722,0.9506398439407349,0.1268921047449112,0.0010000000474974513
1,0.960607647895813,0.10551565140485764,0.9579524397850037,0.09777626395225525,0.0010000000474974513
2,0.9752832055091858,0.08266520500183105,0.9597806334495544,0.08756490051746368,0.0010000000474974513
3,0.9812049269676208,0.06800566613674164,0.9616087675094604,0.07906663417816162,0.0010000000474974513
4,0.9822348356246948,0.06390009075403214,0.9652650952339172,0.07889887690544128,0.0010000000474974513
5,0.9840371012687683,0.055813178420066833,0.9634369015693665,0.08269897848367691,0.0010000000474974513
6,0.9837796092033386,0.05064324662089348,0.9652650952339172,0.0769929364323616,0.0010000000474974513
7,0.9863542914390564,0.047555163502693176,0.97074955701828,0.07548659294843674,0.0010000000474974513
8,0.9858393669128418,0.04691828414797783,0.9670932292938232,0.08146219700574875,0.0010000000474974513
9,0.9858393669128418,0.04599032551050186,0.972577691078186,0.07049731910228729,0.0010000000474974513
10,0.986869215965271,0.04211500287055969,0.972577691078186,0.07012917846441269,0.0010000000474974513
11,0.9876416325569153,0.038199570029973984,0.972577691078186,0.07325951755046844,0.0010000000474974513
12,0.9897013306617737,0.03417982906103134,0.972577691078186,0.07958047837018967,0.0010000000474974513
13,0.9891864061355591,0.03657272458076477,0.972577691078186,0.079765684902668,0.00020000000949949026
14,0.9878990650177002,0.03928511217236519,0.972577691078186,0.07465428858995438,0.00020000000949949026
